% Month Day Year Hour Minute Temp(C) Temp(F) Station_Pressure(hPa) Sea_Level_Pressure(hPa) Sea_Level_Pressure(inHg) Altimeter(m)
02 01 2016 22 49  17.50  63.50 1003.35 1013.15 29.92   82.75
02 01 2016 23 03  17.50  63.50 1003.61 1013.09 29.92   80.07
02 01 2016 23 10  17.50  63.50 1003.78 1013.16 29.92   79.14
02 01 2016 23 11  17.50  63.50 1003.80 1013.15 29.92   78.89
02 01 2016 23 12  17.50  63.50 1003.77 1013.06 29.92   78.39
02 01 2016 23 13  17.50  63.50 1003.86 1013.21 29.92   78.89
02 01 2016 23 14  17.50  63.50 1003.91 1013.24 29.92   78.72
02 01 2016 23 15  17.50  63.50 1003.96 1013.13 29.92   77.38
02 01 2016 23 29  17.60  63.68 1004.23 1013.17 29.92   75.45
02 01 2016 23 30  17.60  63.68 1004.18 1013.14 29.92   75.62
02 01 2016 23 31  17.60  63.68 1004.19 1013.10 29.92   75.20
02 01 2016 23 32  17.50  63.50 1004.15 1013.13 29.92   75.79
02 01 2016 23 33  17.50  63.50 1004.12 1013.18 29.92   76.46
02 01 2016 23 34  17.50  63.50 1004.09 1013.15 29.92   76.46
02 01 2016 23 35  17.50  63.50 1004.00 1013.07 29.92   76.54
02 01 2016 23 36  17.50  63.50 1004.13 1013.11 29.92   75.79
02 01 2016 23 37  17.50  63.50 1004.25 1013.23 29.92   75.79
02 01 2016 23 38  17.50  63.50 1004.12 1013.19 29.92   76.54
02 01 2016 23 39  17.50  63.50 1004.10 1013.10 29.92   75.96
02 01 2016 23 40  17.50  63.50 1004.18 1013.16 29.92   75.79
02 01 2016 23 41  17.50  63.50 1004.13 1013.19 29.92   76.46
02 01 2016 23 42  17.50  63.50 1004.13 1013.03 29.91   75.12
02 01 2016 23 43  17.50  63.50 1004.17 1013.02 29.91   74.70
02 01 2016 23 44  17.50  63.50 1004.19 1013.23 29.92   76.29
02 01 2016 23 45  17.50  63.50 1004.19 1013.10 29.92   75.20
02 01 2016 23 46  17.50  63.50 1004.23 1013.16 29.92   75.37
02 01 2016 23 47  17.50  63.50 1004.33 1013.16 29.92   74.53
02 01 2016 23 48  17.50  63.50 1004.35 1013.16 29.92   74.36
02 01 2016 23 49  17.50  63.50 1004.32 1013.20 29.92   74.95
02 01 2016 23 50  17.50  63.50 1004.25 1013.11 29.92   74.78
02 01 2016 23 51  17.50  63.50 1004.39 1013.23 29.92   74.62
02 01 2016 23 52  17.50  63.50 1004.29 1013.02 29.91   73.69
02 01 2016 23 53  17.50  63.50 1004.32 1013.20 29.92   74.95
02 01 2016 23 54  17.50  63.50 1004.22 1013.12 29.92   75.12
02 01 2016 23 55  17.50  63.50 1004.25 1013.12 29.92   74.87
02 01 2016 23 56  17.50  63.50 1004.28 1013.11 29.92   74.53
02 01 2016 23 57  17.50  63.50 1004.43 1013.16 29.92   73.69
02 01 2016 23 58  17.50  63.50 1004.45 1013.18 29.92   73.69
02 01 2016 23 59  17.50  63.50 1004.42 1013.20 29.92   74.11
